"Table S2. Selected publications from Web of Science searches associated with research topics. Please see the Table S1 and the full-text article (Leigh et al., ""Ecological research and management of intermittent rivers: an historical review and future directions"", published in Freshwater Biology) for details of search topics and selection criteria. Formatting of the entries matches that of the output from Web of Science searches; the authors of the present study are not responsible for any associated errors in publications details or style.",,,,,,,,,,,,,,,,,,,,
Associated search(es),Publication year,Author(s),Title,Abstract,Source,Volume,Issue,Special issue,Start page,End page,Article number,Digital Object Identifier (DOI),Book Digital Object Identifier (DOI),Conference title,Conference date,Conference sponsors,Conference location,International Standard Serial Number (ISSN),International Standard Book Number (ISBN),Accession number
Biogeochemistry,2011,"Gerull, Linda; Frossard, Aline; Gessner, Mark O.; Mutz, Michael",Variability of heterotrophic metabolism in small stream corridors of an early successional watershed,"Metabolic activity in stream corridors is regulated by a complex combination of factors that are difficult to disentangle in mature ecosystems. Chicken Creek in Germany, an experimentally created watershed in an early successional stage, offers the opportunity to assess the spatiotemporal variation in metabolic activity in a simplified system. We measured microbial respiration in soils and sediments along the hydrologic flow path from upland terrestrial to ephemeral to perennial sites of three stream corridors. Dry soils and sediments were rewetted before respiration measurements to mimic periods of activity during and after rainfall. Respiration rates and organic matter contents of soil and sediment were generally low. The presence of algae and accretion of vascular plant fragments in the perennial stream reaches increased respiration rates, pointing to the importance of particulate organic matter. Contrary to expectation, respiration rates of rewetted soil and sediment from dry stream channels were similar to rates measured with sediments collected in the perennial channel sections. This suggests that permanent water availability was not a main factor determining metabolic potential in the early successional Chicken Creek watershed. Carbon turnover in perennial channels was fourfold to eightfold higher than in ephemeral channels and terrestrial sites, as water was permanently available. However, this magnitude was insufficient for perennial channels to compensate for the large surface area of terrestrial soils: extrapolated to a year and the whole watershed, stream channels contributed only 5% to total carbon turnover, 95% being due to soils during and after rainfall events.",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,116,,,,,G02012,10.1029/2010JG001516,,,,,,0148-0227,,WOS:000290621700002
Assessment,2011,"Gonzalez-Fernandez, Oscar; Jurado-Roldan, Antonio M.; Queralt, Ignacio","Geochemical and Mineralogical Features of Overbank and Stream Sediments of the Beal Wadi (Cartagena-La Union Mining District, SE Spain): Relation to Former Lead-Zinc Mining Activities and Its Environmental Risk","Heavy metals and some major element concentrations were investigated in overbank sediments and stream bed sediments of the ephemeral Beal wadi creek in the Cartagena-La Union mining district (SE Spain). Two vertical sediment profiles were extracted and the chemical and mineralogical compositions were both investigated by X-ray fluorescence and X-ray diffraction. Geochemical variations in vertical profiles of these two kinds of sediments allow observing noticeable heavy metals pollution (especially Fe, Pb, and Zn) in both kind of sediments but especially in the overbank sediments (reaching values of approximately 13% Fe, 6% Pb, and 6% Zn). A single extraction (DIN 38414-S4 leaching test) was made to observe the transfer of metals from solids to liquid phase. Pb, Zn, Cu, and Cd contents surpass the leaching values established by the DIN 38414-S4 limits established by Spanish legislation to consider these wastes as hazardous wastes. Geochemical comparison between leaching behavior of the two types of sediments reveals a major ability of overbank sediments in transferring heavy metals to the water flow.",WATER AIR AND SOIL POLLUTION,215,41730,,55,65,,10.1007/s11270-010-0458-1,,,,,,0049-6979,,WOS:000286195800005
Invertebrate,2011,"Grubbs, Scott A.","Influence of flow permanence on headwater macroinvertebrate communities in a Cumberland Plateau watershed, USA","Forested headwater systems provide critical habitat needs for diverse macroinvertebrate faunas globally. This study compared macroinvertebrate community structure between ten temporary and perennial stream channels in a Cumberland Plateau (USA) watershed. Macroinvertebrates were sampled in winter and spring over a 2-year period. Several macroinvertebrate taxa displayed distinct abundance patterns with either increasing or decreasing stream permanence. There were no individual taxa, however, that was common or abundant in one flow regime yet absent in the other. Of the 108 taxa totally collected, only nine and eight were not obtained from the temporary and perennial channels, respectively. There were several functional differences revealed between flow regimes, namely higher densities in the perennial channels for scrapers and filtering-collectors and five of six richness variables except shredders. Overall, this study revealed taxonomic similarity of macroinvertebrate assemblages between temporary and perennial channels but also subtle downstream functional changes that are typical of forested headwater systems. This implies that the longitudinal hydrologic gradient was relatively shallow and that most taxa persist across the flow regime.",AQUATIC ECOLOGY,45,2,,185,195,,10.1007/s10452-010-9345-5,,,,,,1386-2588,,WOS:000289300200003
Invertebrate,2011,"Hamaied-Melki, Sonia; Achouri, Mohamed S.; Aroui, Ouadi E.; Bohli, Dhoha; Charfi-Cheikhrouha, Faouzia","Terrestrial isopod diversity in the wadi Moula-Bouterfess catchment area (Kroumirie, north-west of Tunisia)","We assessed the diversity of terrestrial isopods according to habitat and altitude in the wadi of Moula-Bouterfess catchment area. The most representative habitat types for the area were selected within altitudinal range from 6 to 550 m a.s.l. In total nine sites were sampled: four with maquis and garrigue vegetation, one at a meadow and four sites with forest vegetation. In each sampled habitat, individuals were collected by hand in April 2005 using 30 replicates of a quadrate of 0.5 x 0.5 m. During the study, 582 individuals belonging to 11 terrestrial isopod species from five families were collected. Among these, three species were newly mentioned in Tunisia. The genus Armadillidium was the most abundant genus (60% of the total number of collected specimens) and P. variabilis was the most common species as it was sampled in eight of the nine studied habitats. Terrestrial isopod community structure differs among the nine sampling habitats. Abundance and species richness values are low in the different studied habitats. The Shannon-Wiener H' varied from 0.67 to 2.06. The Canonical Correspondence Analysis (CCA) applied to our data showed that the majority of terrestrial isopod species seem to be more sensitive to vegetal associations than to altitude. No relationship was found between species richness/diversity (Shannon-Wiener index H') and altitude. The studied sites were separated into open and closed areas based on the Bray-Curtis index for similarity.ResumeNous avons etudie la diversite des isopodes terrestres en fonction de l'habitat et de l'altitude dans le bassin versant de Oued El Moula-Bouterfess. Les types d'habitats les plus representatifs de la region ont ete selectionnes a des altitudes allant de 6 a 550 m. Au total, neuf sites ont eteechantillonnes : quatre avec une vegetation de maquis et de garrigue, un en prairie, et quatre avec une vegetation forestiere. Dans chaque habitat etudie, des individus ont ete collectes a la main en avril 2005 sur 30 quadrats de 50 x 50 cm. Au cours de l'etude, nous avons recolte 582 individus appartenant a 11 especes d'isopodes terrestres, de cinq familles differentes. Parmi elles, trois especes etaient nouvelles pour la Tunisie. Le genre Armadillidiumetait le genre le plus abondant (60% du nombre total de specimens collectes), et P. variabilisetait l'espece la plus commune dans la mesure ou elle fut recoltee dans huit des neuf habitats etudies. La structure de la communaute des isopodes terrestres differe dans les neuf habitats en question. L'abondance et la richesse en especes presentent des valeurs faibles dans les differents habitats etudies. L'indice de Shannon-Wiener (H) variait de 0.67 a 2.06. L'Analyse canonique des correspondances (ACC) appliquee a nos donnees a montre que la majorite des especes d'isopodes terrestres semblaient plus sensibles aux associations vegetales qu'a l'altitude. Nous n'avons trouve aucune relation entre la richesse/diversite en especes (Indice de Shannon-Wiener - H) et l'altitude. Les sites etudies ont ete separes entre zones ouvertes et fermees en fonction de l'Indice de similarite de Bray-Curtis.",AFRICAN JOURNAL OF ECOLOGY,49,1,,31,39,,10.1111/j.1365-2028.2010.01227.x,,,,,,0141-6707,,WOS:000287094000004
Assessment,2011,"Hancock, G. R.; Coulthard, T. J.; Willgoose, G. R.",Modeling erosion and channel movement - response to rainfall variability in South East Australia,"Catchments and channel networks continually adjust to fluctuations in stream discharge and sediment load as the fluvial system responds to both extrinsic and intrinsic forcings. External forcings may include climate and tectonics, whereas examples of internal forcings are land cover and land use changes as well as autogenic adjustments within the system itself (Nicholas and Quinne, 2007). While it is well recognised that erosion or channel aggradation is usually associated with increased amount or intensity of precipitation, subtle thresholds may operate where differences in rainfall events and resultant sediment delivery (increase or decrease in stream power) may produce rapid change in erosion rates and patterns. Therefore, apparently similar systems can respond differently under similar conditions (Knighton, 1998).Hillslope erosion or channel aggradation is usually associated with increased amount or intensity of precipitation, yet subtle thresholds may operate where differences in rainfall events and resultant sediment delivery may produce rapid change in erosion rates and patterns. Here a modelling approach, using a landscape evolution model (CAESAR) is used to investigate hillslope erosion and sensitivity of channel position and movement under a series of realistic rainfall scenarios for a low-rainfall catchment (similar to 600mm per annum) with ephemeral streams in South-Eastern Australia.Considerable research has already been undertaken to understand the intrinsic and extrinsic forces on catchment and stream channel change driven by a real need to predict how different systems respond under different forcings (Knighton, 1998). However, this is especially difficult to understand if the changes occur at different thresholds and relatively small changes in rainfall leads to significant change. To understand and quantify these responses is often difficult as periods of low and high rainfall and associated discharge may be symptomatic of particular regions ands climate regimes (Erskine and Warner, 1988; Verdon et al., 2004).The fluvial system could be described in terms of inputs such as rainfall which is ultimately manifested in outputs such as an erosion response (Knighton, 1998). Pulsed inputs and ramped inputs can produce different sediment and morphological response. The pulsed input or high discharge events can route water and sediment outside the channel boundaries producing channel breakouts, new channels being cut, breakouts and avulsions and in large river systems the shortening and cut-off of meanders (Knighton, 1998). Whereas it is generally recognised that events of ramped change produce incremental erosion where the movement of soil is slow and gradual and are more likely the result of long-term climate shifts (Knighton, 1998; Erskine and Warner 1988 Nicholas and Quinne, 2007). While changes in a catchment may be predicated by the intensity and magnitude of the rainfall event (Solyom and Tucker, 2004), the catchment history (i.e. the surface topography and former channels that may reactivate) is also an important factor, as well as vegetation and human management practices.The modelling results here demonstrate the sensitivity of the catchment to different rainfall patterns and how relatively small changes in rainfall can lead to much larger sediment outputs revealing sensitivity to subtle changes in climate. Channel movement occurs as an avulsion. This is the first time such a process has been observed and modeled in an ephemeral stream environment and demonstrates fluvial geomorphic change at human time scales. Overall the CAESAR landscape evolution and erosion model used in this study is able to replicate both erosion rates and the variation in past channel movement.",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),,,,1874,1880,,,,MSSANZ 19th Biennial Congress on Modelling and Simulation (MODSIM),"DEC 12-16, 2011","CSIRO; Australian Govt, Bur Meteorol; Per Convent & Exhibit Ctr; Perth Convent Bur; Curtin Univ; Australian Math Soc; Australian & New Zealand Ind & Appl Math; Australian Math Sci Inst; Maralte Publishers; Econ Soc Australian; HEMA Consulting; Simulat Australia; Stat Soc Australia Inc; Modelling & Simulat Soc Australia & New Zealand Inc; Int Assoc Math & Comp Simulat","Perth, AUSTRALIA",,978-0-9872143-1-7,WOS:000314989301124
Fish,2011,"Hermoso, Virgilio; Clavero, Miguel; Blanco-Garrido, Francisco; Prenda, Jose",Invasive species and habitat degradation in Iberian streams: an analysis of their role in freshwater fish diversity loss,"Mediterranean endemic freshwater fish are among the most threatened biota in the world. Distinguishing the role of different extinction drivers and their potential interactions is crucial for achieving conservation goals. While some authors argue that invasive species are a main driver of native species declines, others see their proliferation as a co-occurring process to biodiversity loss driven by habitat degradation. It is difficult to discern between the two potential causes given that few invaded ecosystems are free from habitat degradation, and that both factors may interact in different ways.Here we analyze the relative importance of habitat degradation and invasive species in the decline of native fish assemblages in the Guadiana River basin (southwestern Iberian Peninsula) using an information theoretic approach to evaluate interaction pathways between invasive species and habitat degradation (structural equation modeling, SEM). We also tested the possible changes in the functional relationships between invasive and native species, measured as the per capita effect of invasive species, using ANCOVA.We found that the abundance of invasive species was the best single predictor of natives' decline and had the highest Akaike weight among the set of predictor variables examined. Habitat degradation neither played an active role nor influenced the per capita effect of invasive species on natives. Our analyses indicated that downstream reaches and areas close to reservoirs had the most invaded fish assemblages, independently of their habitat degradation status. The proliferation of invasive species poses a strong threat to the persistence of native assemblages in highly fluctuating environments. Therefore, conservation efforts to reduce native freshwater fish diversity loss in Mediterranean rivers should focus on mitigating the effect of invasive species and preventing future invasions.",ECOLOGICAL APPLICATIONS,21,1,,175,188,,10.1890/09-2011.1,,,,,,1051-0761,,WOS:000288850200015
"Biogeochemistry, Assessment",2011,"Hladyz, Sally; Watkins, Susanne C.; Whitworth, Kerry L.; Baldwin, Darren S.",Flows and hypoxic blackwater events in managed ephemeral river channels,"As pressure increases on the availability of water resources worldwide, especially in the face of climatic change, it is probable that the likelihood of streams undergoing at least some periods of drying will increase in arid and semi-arid regions. This has implications for the ongoing management of waterways in these areas. One area of concern is the potential occurrence of hypoxic blackwater events upon reinstatement of flows in creek and river channels following periods of drying. Hypoxic blackwater events are characterised by high levels of dissolved organic carbon (DOC), the metabolism of which results in low dissolved oxygen (DO) in the water column, which can cause fish and crustacean mortality. Therefore, understanding hypoxic blackwater events is important in order to reduce the potential for fish mortalities and other water quality impacts from both managed and natural flows. In this study, we set out to determine the factors that influenced the occurrence of a hypoxic blackwater event in the Edward-Wakool river system, in southern NSW. Australia during the previous austral summer (2008-2009). Standing stocks of plant litter, emergent macrophytes and river red gum saplings (Eucalyptus camaldulensis Dehn.), as well as rates of litterfall, were determined in dry and inundated channels. A series of mesocosm experiments were undertaken to determine which carbon source was the greatest contributor to DOC and to DO depletion, and what loadings could result in hypoxia. These experiments were then used to create a simple algorithm relating carbon loading in a dry channel to DOC in the overlying water column following inundation. Results revealed that plant litter was the main contributor to water column DOC and to DO depletion. Litter loadings equal to or greater than 370 g m(-2) were found to cause DO in a shallow (20 cm) water column at 20 degrees C to fall to zero within two days. This loading was approximately half of that found in dry channels in the Edward-Wakool system - thus, initial inundation of these channels at a low flow rate during summer (or when water temperature is equal to or greater than 20 degrees C) is highly likely to trigger a hypoxic blackwater event. In addition, one month of litterfall in summer was calculated to be sufficient to deliver enough carbon to dry channels to create a hypoxic blackwater event. These findings suggest that to reduce the likelihood of a hypoxic blackwater event occurring as a result of managed flows in ephemeral systems; (1) the principal source(s) of DOC as well as the pathway and timing of accumulation in dry channels should be identified, and (2) the timing of the re-instatement of flows in a dry channel should be considered in light of the timing of maximum rates of accumulation of the principal source(s) of DOC. Crown Copyright (C) 2011 Published by Elsevier B.V. All rights reserved.",JOURNAL OF HYDROLOGY,401,41671,,117,125,,10.1016/j.jhydrol.2011.02.014,,,,,,0022-1694,,WOS:000290072000010
Fish,2011,"Hodges, Shawn W.; Magoulick, Daniel D.","Refuge habitats for fishes during seasonal drying in an intermittent stream: movement, survival and abundance of three minnow species","Drought and summer drying can be important disturbance events in many small streams leading to intermittent or isolated habitats. We examined what habitats act as refuges for fishes during summer drying, hypothesizing that pools would act as refuge habitats. We predicted that during drying fish would show directional movement into pools from riffle habitats, survival rates would be greater in pools than in riffles, and fish abundance would increase in pool habitats. We examined movement, survival and abundance of three minnow species, bigeye shiner (Notropis hoops), highland stoneroller (Campostoma spadiceum) and creek chub (Semotilus atromaculatus), during seasonal stream drying in an Ozark stream using a closed robust multi-strata mark-recapture sampling. Population parameters were estimated using plausible models within program MARK, where a priori models are ranked using Akaike's Information Criterion. Creek chub showed directional movement into pools and increased survival and abundance in pools during drying. Highland stonerollers showed strong directional movement into pools and abundance increased in pools during drying, but survival rates were not significantly greater in pools than riffles. Bigeye shiners showed high movement rates during drying, but the movement was non-directional, and survival rates were greater in riffles than pools. Therefore, creek chub supported our hypothesis and pools appear to act as refuge habitats for this species, whereas highland stonerollers partly supported the hypothesis and bigeye shiners did not support the pool refuge hypothesis. Refuge habitats during drying are species dependent. An urgent need exists to further understand refuge habitats in streams given projected changes in climate and continued alteration of hydrological regimes.",AQUATIC SCIENCES,73,4,SI,513,522,,10.1007/s00027-011-0206-7,,,,,,1015-1621,,WOS:000296533400006
Assessment,2011,"Hoffman, M. Timm; Rohde, Richard Frederick","Rivers Through Time: Historical Changes in the Riparian Vegetation of the Semi-Arid, Winter Rainfall Region of South Africa in Response to Climate and Land Use","This paper examines how the riparian vegetation of perennial and ephemeral rivers systems in the semi-arid, winter rainfall region of South Africa has changed over time. Using an environmental history approach we assess the extent of change in plant cover at 32 sites using repeat photographs that cover a time span of 36-113 years. The results indicate that in the majority of sites there has been a significant increase in cover of riparian vegetation in both the channel beds and adjacent floodplain environments. The most important species to have increased in cover across the region is Acacia karroo. We interpret the findings in the context of historical changes in climate and land use practices. Damage to riparian vegetation caused by mega-herbivores probably ceased sometime during the early 19th century as did scouring events related to large floods that occurred at regular intervals from the 15th to early 20th centuries. Extensive cutting of riparian vegetation for charcoal and firewood has also declined over the last 150 years. Changes in the grazing history as well as increased abstraction and dam building along perennial rivers in the region also account for some of the changes observed in riparian vegetation during the second half of the 20th century. Predictions of climate change related to global warming anticipate increased drought events with the subsequent loss of species and habitats in the study area. The evidence presented here suggests that an awareness of the region's historical ecology should be considered more carefully in the modelling and formulation of future climate change predictions as well as in the understanding of climate change impacts over time frames of decades and centuries.",JOURNAL OF THE HISTORY OF BIOLOGY,44,1,,59,80,,10.1007/s10739-010-9246-4,,,,,,0022-5010,,WOS:000288714200004
Fish,2011,"Huey, Joel A.; Schmidt, Daniel J.; Balcombe, Stephen R.; Marshall, Jonathan C.; Hughes, Jane M.",High gene flow and metapopulation dynamics detected for three species in a dryland river system,"1. The highly variable hydrology of dryland rivers has important implications for population dynamics in these systems. In western Queensland, fluctuations in sub-population size are likely to lead to local bottlenecks and extinctions, increasing the need for connectivity and gene flow to maintain population viability.2. Using microsatellite markers, we explored evidence for this metapopulation structure in two species of freshwater fish (Maquaria ambigua and Tandanus tandanus) and one crustacean (Macrobrachium australiense) in a sub-catchment of the upper Murray-Darling Basin, Australia.3. Overall, we found very weak genetic structure for all three species. Two species (M. ambigua and M. australiense) showed some significant genetic structure that did not correlate with geographic distance. However, decomposed pairwise regression analysis revealed evidence for intense genetic drift at the waterhole scale, suggesting that local bottlenecks are driving what little genetic structure does exist for these species.4. The results identify the local impact of bottlenecks on genetic diversity, but highlight the importance of gene flow in maintaining population viability in these highly variable systems. As the impacts of bottlenecks are likely to be tempered by gene flow, it is suggested that the maintenance of connectivity is of paramount importance in this dryland system.",FRESHWATER BIOLOGY,56,11,,2378,2390,,10.1111/j.1365-2427.2011.02666.x,,,,,,0046-5070,,WOS:000296061400014
Biogeochemistry,2011,"Karaouzas, Ioannis; Lambropoulou, Dimitra A.; Skoulikidis, Nikolaos T.; Albanis, Triantafyllos A.","Levels, sources and spatiotemporal variation of nutrients and micropollutants in small streams of a Mediterranean River basin","In this study, nutrients, trace metals and priority pesticide compounds were investigated for the first time in water and sediment samples in streams of the Evrotas River basin (S.E. Greece) from 2006 to 2008. The most important sources of contamination were from the entry of pesticides and nutrients into surface waters and sediments as a result of the intensive agricultural activity as well as from the uncontrolled disposal of olive mill and citrus processing wastewaters. Aquatic risk assessment revealed that all insecticides detected showed high risk, suggesting adverse effects on the stream biota. Among the metals analyzed, Cr, Ni and Ba presented the highest concentrations in sediments, however, due to natural geological processes. Multivariate statistical techniques applied for data compression, exploration and interpretation proved to be useful tools for identifying the most critical pollutants affecting the surface water quality. The findings of this study suggest that the inclusion of streams with small catchment areas into WFD monitoring and assessment programs is essential, especially those of the Mediterranean region.",JOURNAL OF ENVIRONMENTAL MONITORING,13,11,,3064,3074,,10.1039/c1em10637f,,,,,,1464-0325,,WOS:000297527800011
Fish,2011,"Kerezsy, Adam; Balcombe, Stephen R.; Arthington, Angela H.; Bunn, Stuart E.","Continuous recruitment underpins fish persistence in the arid rivers of far-western Queensland, Australia","Fish living in highly variable and unpredictable environments need to possess life-history strategies that enable them to survive environmental extremes such as floods and drought. We used the length-frequency distributions of multiple fish species in multiple seasons and highly variable hydrological conditions to infer antecedent breeding behaviour in rivers of far-western Queensland, Australia. Hypotheses tested were as follows: (1) recruitment of some or all species of fish would occur within waterholes during no-flow periods; (2) there would be seasonal recruitment responses in some fish species; (3) recruitment of some species would be enhanced by channel flows and/or flooding. Hydrology and the incidence of flooding were highly variable across the study area during 2006-2008. Flood-influenced recruitment was evident for Hyrtl's tandan, Barcoo grunter and Welch's grunter. Silver tandan, golden goby, Cooper Creek catfish and Australian smelt showed evidence of seasonal recruitment unrelated to antecedent hydrology. However, most species demonstrated continual recruitment in isolated waterholes, irrespective of antecedent flow conditions and season. Continual and seasonal recruitment capabilities have obvious advantages over flood-pulse recruitment in rivers with highly unpredictable flood regimes and underpin the persistence of many fish species in arid and semiarid rivers.",MARINE AND FRESHWATER RESEARCH,62,10,,1178,1190,,10.1071/MF11021,,,,,,1323-1650,,WOS:000295720400002
Biogeochemistry,2011,"Kobayashi, Tsuyoshi; Ryder, Darren S.; Ralph, Timothy J.; Mazumder, Debashish; Saintilan, Neil; Iles, Jordan; Knowles, Lisa; Thomas, Rachael; Hunter, Simon",LONGITUDINAL SPATIAL VARIATION IN ECOLOGICAL CONDITIONS IN AN IN-CHANNEL FLOODPLAIN RIVER SYSTEM DURING FLOW PULSES,"A field survey was conducted during flow pulses to investigate the longitudinal spatial patterns in water quality, dissolved inorganic and organic matter, phytoplankton, planktonic bacteria, zooplankton, gross primary productivity (GPP) of phytoplankton and planktonic respiration (PR) in channels of the large floodplain system (similar to 124 km in length) of the Macquarie Marshes, south-eastern Australia. Four river reaches (areas) with distinct hydrogeomorphological characteristics within the distributary zone of the lower Macquarie River were chosen for analysis of abiotic and biotic variables in their in-stream environments. The results showed marked longitudinal spatial variation in the values within and among the measured environmental variables including such functional aspects as primary productivity and PR. The variables that tended to have increasing values in a downstream direction were conductivity, total nitrogen (TN), total phosphorus (TP), dissolved reactive phosphorus (DRP), dissolved silica, dissolved organic carbon (DOC), dissolved organic nitrogen (DON), dissolved organic phosphorus (DOP), ratio of DOC/DON and counts of planktonic bacteria. Conversely, the values that tended to decrease downstream were the ratios of TN/TP, DIN/DRP, DOC/DOP, DON/DOP and GPP/PR. Variables that had a localized peak(s) were dissolved oxygen, turbidity, dissolved inorganic nitrogen, GPP, PR and counts of cyanobacteria, diatoms, green algae, cryptomonads, protozoans, rotifers, copepods and cladocerans. Overall, two distinct ecological zones were identified within the broader distributary functional process zone (FPZ): these being the upstream zone with relatively high levels of DO, turbidity, diatoms and GPP/PR ratio, and the downstream zone with relatively high levels of nutrients, dissolved organic matter, cyanobacteria, planktonic bacteria, protozoans and cladocerans. The results of this study describe the spatial connectivity of ecological processes related to hydrogeomorphological factors within a FPZ of a riverine ecosystem, and support the predictions of the riverine ecosystem synthesis framework that ecological patterns and processes can be discontinuous on a longitudinal spatial scale. Copyright (C) 2010 John Wiley & Sons, Ltd.",RIVER RESEARCH AND APPLICATIONS,27,4,,461,472,,10.1002/rra.1381,,,,,,1535-1459; 1535-1467,,WOS:000290456000003
Assessment,2011,"Komakech, Hans Charles; Mul, Marloes L.; van der Zaag, Pieter; Rwehumbiza, Filbert B. R.","Water allocation and management in an emerging spate irrigation system in Makanya catchment, Tanzania","Although spate irrigation systems are risk-prone, they can be an important component for livelihood security in semi-arid areas. Spate uses water (flood water), which upstream users often do not require, as rainfall during these periods is more than sufficient. The use of this flood water for spate irrigation is therefore a good opportunity to convert water with a low opportunity cost to high value water. As more rivers are closing, due to socio-economic and climate changes, spate irrigation may become increasingly relevant in semi-arid areas. Spate irrigation systems pose institutional and technical challenges: collective action is challenged by complex upstream-downstream interactions between users within the system, and the high labour demands for regular reconstruction of temporary diversion weirs and intake structures. This paper describes a spate irrigation system in Makanya village, Tanzania that emerged in response to increased upstream water use. We use three of the four dimensions (hydrological, hydraulic and sociological) of spate irrigation proposed by Van Steenbergen (1997) to assess the Makanya spate irrigation system. The Makanya spate irrigation system has an organisational structure that is similar to the canal irrigation (furrow) committees located upstream, and effectively deals with the institutional demands of managing water in spate irrigation systems. Water allocation is reminiscent to the water sharing arrangements existing in the full irrigation system, which previously was in place at the site and in the high- and midlands of the Makanya catchment and therefore set this system apart from the traditional spate irrigation practice elsewhere. Technically, a major challenge is the reconstruction of the head works after each flood. Another aspect is the changes in the river bed. Flash floods carry sediments that deposit on the fields, raising the elevation of the irrigated land every year and making it increasingly difficult for the river water to enter the plots. Improving system efficiency through modernisation of the diversion and distribution structures in this case is not feasible due to the huge amounts of sediments delivered to the system each year. Instead investments in conjunctive use of groundwater could be the solution because it involves a relatively small intervention, minimises the physical disturbance of the system, and therefore is likely to respect the existing locally developed water management arrangements. (C) 2010 Elsevier B.V. All rights reserved.",AGRICULTURAL WATER MANAGEMENT,98,11,SI,1719,1726,,10.1016/j.agwat.2010.07.017,,,,,,0378-3774,,WOS:000295764900006
Invertebrate,2011,"Lake, P. Sam",Introduction: the nature of droughts,,DROUGHT AND AQUATIC ECOSYSTEMS: EFFECTS AND RESPONSES,,,,1,+,,,10.1002/9781444341812,,,,,,978-1-4443-4178-2; 978-1-4051-8560-8,WOS:000337164300001
Assessment,2011,"Law, Bradley S.; Chidel, Mark; Tap, Patrick",Bat activity in ephemeral stream-beds in the Pilliga forests: clarifying the importance of flyways and buffer widths in open forest and woodland,"Riparian zones provide significant habitat for microbats. In forests subject to logging, buffers are normally retained along stream-beds to maintain water quality and protect riparian vegetation and its associated fauna. We sampled bat activity as part of a broader program to assess biodiversity and to provide a scientific basis for determining buffer widths around ephemeral streams in the Pilliga State forests of north-west New South Wales. Anabat detectors recorded bat activity over two consecutive nights in one season at each of three dry stream-bed sizes (small, medium and large), clustered into five different locations (replicates). Anabat detectors were placed at varying distances perpendicular from the dry, stream-bed centre of ephemeral streams (0 m, 50 m, 100 m, 200 m). To assess the influence on bat activity of the flyway per se versus the riparian zone, one cluster of sites represented a control or reference that comprised dirt roads of three equivalent widths. Over the course of the study 22,967 bat calls were recorded from 15 species. A multivariate analysis of species composition indicated that there was no distinct bat assemblage characteristic of the riparian zone. Overall, bat activity was not influenced by stream-bed size or the perpendicular distance from the stream-bed. However, there was a significant interaction between distance and stream-bed size, with large stream-beds supporting three times more activity over the channels than adjacent forest and woodland. Similarly for reference sites, there was more activity directly over the road than adjacent woodland. The response of individual species to flyways on the different-sized stream-beds varied generally in accordance with predictions based on their ecomorphology and echolocation call type. We conclude that large flyways have the most biological importance to the activity of a range of bat species and that, in conjunction with studies on other components of biodiversity, the riparian zone rarely extends beyond the stream-bed channel in the Pilliga forests.",BIOLOGY AND CONSERVATION OF AUSTRALASIAN BATS,,,,308,321,,,,Symposium on the Biology and Conservation of Australasian Bats,"APR 12-14, 2007",Royal Zool Soc New S Wales; Australasian Bat Soc,"Sydney, AUSTRALIA",,978-0-98-3272-4-3,WOS:000306448900029
"Invertebrate, Assessment",2011,"Lawrence, Justin E.; Deitch, Matthew J.; Resh, Vincent H.",Effects of vineyard coverage and extent on benthic macroinvertebrates in streams of Northern California,"Vineyards are a dominant feature of many landscapes in Mediterranean-climate regions. We examined the effects of streamflow declines, associated with vineyard water-withdrawals for frost protection, on benthic-macroinvertebrate communities at three sites along three small streams in the Mediterranean-climate region of Northern California. One site was heavily affected by water withdrawals for frost protection, the other two were not. In addition, we examined relationships between vineyard coverage and benthic-macroinvertebrate community response using data from 59 sampling events at 39 sites along 35 small streams in Napa County, California. We tested three a priori hypotheses in terms of the response of biological traits of benthic macroinvertebrates to high vineyard coverage: (1) proportion of individuals with semi-voltine (i.e., one generation every 2 years) life cycles would be lower compared to those with uni- and multi-voltine cycles, (2) proportion of individuals able to undergo diapause would be higher, and (3) proportion of individuals with the ability to burrow into the substrate would be higher. In the three-site study, we found that vineyard water-withdrawals for frost protection coincided with consistently lower values in both the benthic-macroinvertebrate index of biotic integrity (B-IBI) developed for Northern California streams and the ratio of Ephemeroptera-Plecoptera-Trichoptera to Odonata-Coleoptera-Hemiptera individuals (EPT/OCH), a metric developed for European Mediterranean streams. In the broader-scale study, we observed that vineyard-coverage levels above about 20% coincided with lower values of the B-IBI. The semi-voltine life-cycle trait was lower above this level, whereas the diapause and burrowing traits were not affected.",ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,47,4,,347,354,,10.1051/limn/2011043,,,,,,0003-4088,,WOS:000301281600004
